Sample ID,Sequence count
F-141,126903
F-197,113188
F-199,104134
F-137,97328
F-122,84864
F-198,81478
F-172,81107
F-138,76151
F-38,74729
F-90,74378
F-92,74140
F-91,72688
F-100,72120
F-149,72041
F-177,71711
F-60,71051
F-59,70911
F-120,70855
F-94,70789
F-101,70427
F-97,69711
F-66,69156
F-43,68959
F-114,68561
F-96,68483
F-31,68286
F-44,68202
F-119,67299
F-133,67252
F-152,66871
F-53,66372
F-95,66221
F-93,65639
F-40,65482
F-107,65363
F-28,65030
F-30,64800
F-102,64401
F-45,64227
F-117,64026
F-116,63981
F-99,63933
F-108,63330
F-82,63301
F-47,63185
F-83,63100
F-129,63027
F-52,62720
F-86,62708
F-105,62398
F-89,62363
F-55,62340
F-22,61039
F-51,60712
F-98,60045
F-15,59863
F-1,59859
F-62,59776
F-20,59654
F-46,59649
F-76,59607
F-75,59302
F-61,58995
F-41,58953
F-113,58829
F-23,58820
F-26,58788
F-106,58704
F-21,58619
F-109,58540
F-112,58495
F-14,58305
F-84,57966
F-104,57963
F-103,57936
F-25,57918
F-29,57806
F-36,57654
F-56,57603
F-81,57502
F-49,57495
F-147,57289
F-37,57053
F-54,57035
F-24,56814
F-33,56549
F-145,56400
F-39,55887
F-118,55776
F-58,55593
F-87,55580
F-74,55510
F-208,55471
F-19,55245
F-173,55146
F-157,55074
F-111,54741
F-48,54715
F-35,54472
F-206,54381
F-50,54167
F-64,53414
F-68,53378
F-32,53322
F-78,53131
F-110,52906
F-85,52664
F-16,52553
F-57,52490
F-65,52214
F-8,52101
F-5,51376
F-17,51263
F-77,51244
F-13,51213
F-189,51125
F-214,50912
F-151,50840
F-18,50673
F-2,50599
F-9,50537
F-7,50243
F-11,50180
F-79,49966
F-34,49725
F-42,49329
F-12,48980
F-67,48779
F-6,48611
F-218,48601
F-180,48171
F-63,47799
F-27,47702
F-72,47192
F-148,47171
F-140,46480
F-181,46377
F-88,46361
F-73,46346
F-196,46168
F-70,45976
F-195,45286
F-10,45206
F-80,44166
F-71,43889
F-182,43507
F-4,43427
F-222,42634
F-3,42219
F-69,42036
F-212,41700
F-202,41650
F-115,40671
F-162,39812
F-192,39667
F-200,38304
F-175,38225
F-127,37374
F-186,37021
F-146,36940
F-213,36282
F-126,36035
F-171,35699
F-158,35588
F-220,34155
F-216,34052
F-123,33329
F-194,33295
F-168,32797
F-179,32084
F-154,31637
F-190,31167
F-163,30700
F-156,29457
F-164,29041
F-153,28270
F-224,27902
F-221,25875
F-215,25746
F-201,25280
F-144,25241
F-187,25052
F-188,24443
F-161,24173
F-167,23544
F-169,23238
F-193,22266
F-139,22202
F-165,20520
F-223,19550
F-209,19425
F-124,18720
F-121,18560
F-166,16443
F-205,16104
F-135,14849
F-136,14301
F-142,13518
F-170,10948
F-191,10877
F-203,10800
F-178,10638
F-211,9884
F-160,8613
F-155,6551
F-174,6289
F-159,6033
F-204,5541
F-150,5359
F-176,5200
F-134,4526
F-210,4460
F-128,3606
F-184,3423
F-131,3072
F-207,2542
F-143,2108
F-219,1636
F-183,1583
F-125,557
F-217,131
F-185,67
F-130,8
F-132,7
F-383,126485
F-330,107898
F-370,97886
F-355,97294
F-334,97283
F-353,94955
F-358,94395
F-351,93482
F-347,92732
F-356,89789
F-324,89043
F-318,88840
F-366,88789
F-354,88071
F-382,87994
F-325,86768
F-362,85727
F-380,85666
F-379,85296
F-357,85290
F-333,84950
F-363,84693
F-327,84473
F-378,83485
F-329,82806
F-369,82778
F-375,82128
F-381,82072
F-320,81835
F-328,81621
F-319,81253
F-371,80597
F-341,80484
F-326,79820
F-336,79261
F-321,78938
F-372,78488
F-342,78362
F-343,78038
F-338,77990
F-374,76777
F-322,75821
F-352,75750
F-335,75460
F-345,75410
F-350,74978
F-359,74427
F-365,74196
F-368,73411
F-317,72609
F-340,72234
F-367,71549
F-323,70976
F-337,70874
F-339,69677
F-377,69320
F-344,69286
F-376,68948
F-348,66937
F-346,66812
F-360,65759
F-361,65085
F-331,63098
F-364,63043
F-373,62737
F-332,58862
F-349,57882
F-260,56957
F-306,54879
F-259,53723
F-252,53614
F-302,52982
F-225,52082
F-248,51910
F-266,51006
F-230,50948
F-307,50906
F-250,50574
F-256,50558
F-311,49994
F-283,49408
F-267,49299
F-281,48435
F-275,48236
F-276,47562
F-227,47327
F-314,47079
F-273,47053
F-265,46867
F-289,46829
F-258,46701
F-254,46598
F-261,46591
F-247,46566
F-226,46555
F-249,46396
F-268,46075
F-294,46000
F-292,45594
F-243,45521
F-270,45454
F-303,45404
F-236,45217
F-308,44749
F-304,44690
F-251,44500
F-262,44464
F-237,44230
F-297,44097
F-285,44094
F-240,43835
F-305,43780
F-264,43684
F-300,43606
F-229,43478
F-282,43268
F-287,43141
F-301,43104
F-315,42793
F-257,42663
F-298,42275
F-245,42216
F-272,42158
F-253,42098
F-313,42017
F-284,41749
F-233,41213
F-246,41015
F-255,40997
NA,40966
F-228,40946
F-239,40907
F-244,40907
F-241,40800
F-312,40214
F-293,40120
F-242,40119
F-278,40051
F-286,39647
F-238,39514
F-316,39416
F-280,39298
F-277,39096
F-291,39083
F-295,39061
F-269,39058
F-231,38949
F-234,38726
F-290,38627
NA,38617
F-274,38170
F-279,37693
F-299,36221
F-232,35924
F-288,35528
F-263,35064
F-271,34681
F-310,33707
F-309,30824
F-296,28356
F-235,13371
