Family,beta.statussc,beta.age,se.statussc,se.age,W.statussc,W.age,p.statussc,p.age,q.statussc,q.age,structural_zero (status = nc),structural_zero (status = sc)
Methanobacteriaceae,0.526,0.0121,0.278,0.00817,1.89,1.48,0.0587,0.138,0.172,0.511,No,No
Actinomycetaceae,0.173,0.0151,0.197,0.00687,0.882,2.2,0.378,0.0279,0.652,0.243,No,No
Bifidobacteriaceae,-0.158,0.0141,0.37,0.0112,-0.427,1.26,0.67,0.209,0.809,0.568,No,No
Coriobacteriaceae,0.493,0.0364,0.25,0.00652,1.97,5.58,0.0493,2.39e-8,0.172,9.08e-7,No,No
[Barnesiellaceae],-1.16,5.8e-5,0.28,0.00836,-4.13,0.00694,3.61e-5,0.994,8.51e-4,0.994,No,No
[Odoribacteraceae],-0.518,0.00628,0.22,0.00615,-2.36,1.02,0.0184,0.308,0.1,0.73,No,No
[Paraprevotellaceae],0.691,-0.012,0.36,0.0116,1.92,-1.04,0.0553,0.3,0.172,0.73,No,No
Bacteroidaceae,-1.05,-0.0126,0.268,0.00777,-3.92,-1.62,8.79e-5,0.105,8.51e-4,0.441,No,No
Porphyromonadaceae,-0.273,-0.0108,0.228,0.00627,-1.2,-1.72,0.232,0.0852,0.44,0.405,No,No
Prevotellaceae,0.758,0.00678,0.414,0.0134,1.83,0.506,0.0669,0.613,0.182,0.898,No,No
Rikenellaceae,-1.21,2.93e-4,0.299,0.00841,-4.06,0.0348,4.91e-5,0.972,8.51e-4,0.994,No,No
S24-7,0.713,-0.0016,0.344,0.0106,2.07,-0.151,0.0382,0.88,0.161,0.955,No,No
Lactobacillaceae,0.371,0.00575,0.21,0.00637,1.77,0.903,0.077,0.366,0.195,0.819,No,No
Streptococcaceae,0.00432,0.0109,0.262,0.0084,0.0165,1.3,0.987,0.195,0.987,0.568,No,No
Turicibacteraceae,-0.254,0.00593,0.233,0.00766,-1.09,0.774,0.275,0.439,0.497,0.834,No,No
[Mogibacteriaceae],0.652,0.0165,0.166,0.00449,3.92,3.67,8.96e-5,2.42e-4,8.51e-4,0.00307,No,No
[Tissierellaceae],-0.227,-0.00258,0.118,0.00365,-1.92,-0.706,0.0545,0.48,0.172,0.869,No,No
Christensenellaceae,-0.156,0.00172,0.258,0.00723,-0.605,0.238,0.545,0.812,0.809,0.935,No,No
Clostridiaceae,0.0915,0.00882,0.225,0.0063,0.407,1.4,0.684,0.161,0.809,0.511,No,No
Dehalobacteriaceae,-0.0395,-0.00202,0.13,0.00399,-0.303,-0.506,0.762,0.613,0.827,0.898,No,No
Eubacteriaceae,0.0618,-0.00574,0.124,0.00313,0.497,-1.83,0.619,0.0668,0.809,0.362,No,No
Lachnospiraceae,-0.0413,0.00237,0.131,0.00397,-0.314,0.598,0.753,0.55,0.827,0.898,No,No
Peptococcaceae,0.34,0.0031,0.244,0.00723,1.4,0.429,0.163,0.668,0.325,0.898,No,No
Peptostreptococcaceae,-0.0555,0.00156,0.266,0.00857,-0.209,0.182,0.835,0.856,0.858,0.955,No,No
Ruminococcaceae,0.0593,0.00208,0.0973,0.00254,0.61,0.819,0.542,0.413,0.809,0.834,No,No
Veillonellaceae,0.0958,-0.00914,0.193,0.00638,0.496,-1.43,0.62,0.152,0.809,0.511,No,No
Erysipelotrichaceae,0.433,0.0191,0.176,0.00509,2.46,3.74,0.0138,1.81e-4,0.0872,0.00307,No,No
Fusobacteriaceae,0.143,-0.0023,0.247,0.00739,0.579,-0.311,0.563,0.756,0.809,0.898,No,No
Victivallaceae,0.33,-0.00208,0.208,0.00575,1.59,-0.362,0.112,0.717,0.237,0.898,No,No
Alcaligenaceae,-0.126,-0.0182,0.29,0.00873,-0.433,-2.08,0.665,0.0371,0.809,0.243,No,No
Oxalobacteraceae,-0.0875,3.53e-4,0.156,0.00484,-0.56,0.0728,0.575,0.942,0.809,0.994,No,No
Desulfovibrionaceae,0.0992,-0.00609,0.26,0.00769,0.382,-0.792,0.702,0.428,0.809,0.834,No,No
Succinivibrionaceae,1,0.00614,0.446,0.0135,2.24,0.453,0.0248,0.65,0.118,0.898,No,No
Enterobacteriaceae,-0.55,0.0211,0.344,0.0102,-1.6,2.07,0.11,0.0384,0.237,0.243,No,No
Pasteurellaceae,-0.0428,-0.00318,0.206,0.00612,-0.207,-0.52,0.836,0.603,0.858,0.898,No,No
[Cerasicoccaceae],0.119,-0.00177,0.166,0.00537,0.713,-0.33,0.476,0.741,0.786,0.898,No,No
Verrucomicrobiaceae,-0.984,0.00468,0.324,0.00987,-3.04,0.474,0.00237,0.636,0.018,0.898,No,No
Unknown,0.26,0.00165,0.16,0.00455,1.62,0.362,0.104,0.717,0.237,0.898,No,No
